 	1	2	3	4	5	6	7	8	9	10
A	3445221.1	3766081.44	3914788.42	4043351.59	3436529.27	3676521.81	3523875.53	3804723.66	3434237.04	1526930.65
B	3952986.41	4439758.71	4404853.54	4219827.47	4196648.75	3920662.31	5048125.44	4301316.43	4179523.95	1668424.99
C	10089280.91	11614081.22	12216936.47	11566620.13	13983323.58	16552906.93	13137589.61	9963739.75	19079304.84	2026129.55
D	12774861.78	14676577.33	22215453.62	33053300.91	22410622.01	12585724.27	5971406.58	8745712.57	23051949.34	2154168.79
E	15545179.17	13937805.0	8226251.96	8441692.55	10129036.74	15490619.98	9046830.27	15805139.93	15525464.03	2162923.54
F	20427516.77	11416020.22	8067689.0	6374872.14	9505666.97	4117249.73	11116912.27	15809667.14	16001842.88	2043434.75
G	8777116.9	7428593.64	7395542.97	4575845.82	8919699.63	3328920.47	7969390.93	6218809.34	5516653.6	1780452.94
H	6320586.37	7139526.25	6702614.29	4299233.17	6783328.97	5955799.66	6498782.49	6909492.03	5252541.38	1724416.21
I	6055812.05	6473763.49	7442735.33	6760314.49	7227817.33	3247601.43	4192489.38	4576527.92	3484687.18	1653443.12
J	6095380.85	5357525.18	4899754.24	4097147.32	11322897.18	3487280.75	3605021.8	5731088.13	3986196.23	1802407.07
K	7988262.21	6708161.68	5177719.88	4639558.25	7001924.17	3173900.03	6046352.68	6926020.04	5971700.03	1802273.52
L	7134861.52	5359213.59	4304733.28	4895777.52	4121021.55	3083090.95	5637187.87	6318078.93	5391933.49	1848341.52
M	7232167.47	5270752.83	7812018.19	17269271.73	6930691.55	3759095.44	6730321.1	5452304.32	4531576.88	1836626.33
N	5891972.22	4653925.62	6115477.99	15200330.4	4663128.44	3814655.17	4781628.47	4609148.56	4131672.11	1694089.06
O	4761495.33	5133753.79	4658445.51	4686932.09	5263156.94	5218569.38	5902476.7	5213419.04	4244680.39	1629719.2
P	4386549.12	4522085.68	4041531.99	6731633.72	6198195.36	6574679.33	5058544.27	4786761.8	4185560.48	1634038.23
Q	4970013.53	4993719.02	5834802.13	5689279.8	4755301.9	7883340.35	5661797.22	4925839.26	4704333.61	1623499.97
R	5701556.14	6191002.39	6635609.25	4371384.94	5899807.38	12676795.08	6322130.56	5083436.3	5125113.89	1629092.29
S	6208410.07	5783068.3	7460396.52	5570061.02	7700725.44	5901136.15	5480096.48	4493895.5	5726604.19	1643762.98
T	13822730.43	8500850.96	11847880.92	9856359.25	16715813.9	8060927.44	8533202.05	7982334.86	6466466.78	1675628.78
U	10222463.83	8180022.22	6594108.31	6203911.95	6431744.81	6223647.85	8696126.46	7866098.05	7716198.04	1715989.19
V	10361413.85	9162070.12	5270972.49	3663176.6	5364926.53	3345076.52	6496508.08	6405416.77	6557792.97	1699842.7
W	18526455.03	10291840.54	6330781.96	3438081.84	4742600.44	3243074.73	5768051.36	12145449.15	6768615.9	1777050.24
X	11690282.31	21323572.5	19035411.97	7375347.56	14862113.67	2801624.15	3638001.94	5947327.35	7557559.21	1905447.87
