 	1	2	3	4	5	6	7	8	9	10
A	11697768.12	11779925.36	3395735.04	4185678.32	12410569.85	5145606.85	7025600.2	7405207.08	6368894.11	1292610.27
B	13837043.02	17719631.27	8135646.76	6449910.21	16203185.76	11766381.31	12370093.06	6395718.64	11349507.55	1772775.86
C	9477258.11	10956630.9	5470812.24	5782071.64	12104627.86	7728486.19	7798432.6	13639545.73	8776780.74	1801334.43
D	10799839.31	9375691.1	7414816.58	4500265.11	5377987.85	7188781.23	9051116.75	9869911.18	9141673.42	1769103.24
E	10302459.48	11944674.37	3304167.84	2853923.04	15475744.45	6050769.54	7294929.86	9520378.57	6213434.02	2285217.2
F	12515651.45	12520511.28	3018986.9	3186461.73	14536268.39	5721371.09	10751546.16	10429583.95	9140805.57	2239689.79
G	11206868.31	12534421.17	6878904.0	5418582.45	14284598.85	9551834.28	14523097.42	11706969.18	7960854.09	4430818.9
H	13149601.65	13838067.25	11382981.8	6628745.52	19920570.73	9966397.78	9748211.18	10005213.34	8755516.95	6836882.76
I	14819976.82	14613114.9	8921216.73	8071991.61	20572130.03	11030215.41	13751245.31	9988253.18	6838914.84	3642251.4
J	12445581.06	11700015.7	5915551.89	5735480.61	19932756.82	9604621.54	10795902.12	9295601.05	9470960.26	1938124.51
K	13315649.13	15160551.98	12798553.92	6822333.99	11620982.84	4297303.9	12585650.89	8498295.2	8838387.99	1938803.05
L	15260536.51	23641772.33	15421644.79	7964126.03	8625885.99	11371243.53	7711334.07	9290915.59	7874795.85	2204989.06
M	12480571.76	18054271.83	13788839.32	23391378.74	9782400.78	11023247.3	9639508.61	9449557.88	6915781.81	4526252.33
N	11358348.29	12382354.35	15027011.22	17439124.64	8346744.84	7355101.19	6264774.52	8238622.49	8955683.43	1808059.32
O	10837394.15	13779270.58	17162981.91	22393145.19	14876332.34	17915453.48	11881538.5	7977201.9	7863282.79	4184741.55
P	6856402.56	10049187.73	10230211.39	23436893.71	12117881.71	10296385.42	8170192.63	7491987.67	7651234.28	6541686.16
Q	6457501.75	6341875.84	7011017.65	5088912.21	5730106.36	11863506.65	7637147.04	6716212.09	4729876.37	6468119.67
R	9199544.27	7687499.26	9939232.28	5001232.23	7482219.04	11078814.82	9673090.79	6751377.53	7101134.39	1690517.94
S	13910709.49	11636953.66	28825749.98	15931941.83	31245929.04	22214624.01	16810343.42	22340396.96	14179292.72	5438649.6
T	10569637.35	15590556.78	14516013.5	7433873.9	17696362.95	12670671.65	10322505.39	9593731.4	8844286.71	8021227.28
U	14510367.56	11839413.0	8432617.57	8253805.8	9078964.46	11111927.24	8705214.43	9885539.84	8965895.18	4777314.78
V	16012255.92	13104974.19	12244864.02	4342684.3	15853011.95	10820333.01	10384727.87	8913676.54	6285557.25	3320893.54
W	15745712.91	14636884.69	8822847.14	3958666.66	9095759.84	7927621.51	12895261.15	12968106.57	8714926.64	7536185.54
X	15709088.74	12281861.47	15416888.87	3308685.92	3332758.85	3061823.36	13091574.62	15438710.44	13207350.99	9611137.08
