 	1	2	3	4	5	6	7	8	9	10
A	653144.63	1260388.7	708275.37	419684.42	392195.31	374136.33	386398.44	408981.73	429822.9	473855.91
B	582622.31	537007.29	463721.87	453581.51	394890.73	401063.77	412576.62	413119.65	467982.51	881622.02
C	871880.63	901498.77	857535.19	683017.23	747169.76	739942.7	799864.9	909140.0	1386802.74	1137786.13
D	899071.66	887843.08	805868.24	676580.69	720162.25	580316.22	620878.86	729442.48	1062429.9	1056181.97
E	766375.02	813611.34	724113.03	686721.76	581314.01	590359.95	520449.0	626231.06	781248.74	791331.43
F	862438.84	750174.81	709068.56	713666.79	683953.16	518137.91	563133.84	671289.6	965645.28	698250.43
G	805507.47	813582.32	860428.7	824695.65	829235.33	679663.51	657434.12	1042260.43	966705.75	730350.99
H	819985.66	787559.42	766711.36	827142.11	792935.57	1015075.25	790706.58	870166.88	894304.88	724101.2
I	935562.87	925940.32	922333.96	901148.96	922871.76	1402235.7	757167.36	1361217.79	925908.28	764772.5
J	870427.4	838852.89	769440.77	784557.04	903565.42	849962.95	836490.54	870820.81	876090.44	790309.03
K	1036538.36	921660.64	978593.78	888120.17	1209786.55	754205.52	891562.55	1271920.62	1127140.36	1143494.32
L	951519.27	980981.94	921778.05	823270.46	759835.32	935643.27	1178062.98	1592252.88	1305688.57	1104323.8
M	990994.1	939793.5	928857.57	798739.25	891252.35	849001.94	1058641.25	1084656.76	1052574.5	1009994.24
N	866342.62	849189.91	848037.84	835501.56	746119.75	790645.2	1116617.65	1042826.48	1026765.42	977244.73
O	787454.57	852072.99	855817.65	986773.96	881915.57	901709.37	1153392.69	867711.19	942416.02	889409.66
P	769988.31	777054.85	814355.55	859542.45	995648.72	712660.01	1207204.08	891375.04	925539.76	847578.83
Q	770283.64	776385.49	809021.22	704031.88	892234.14	1100594.41	1215353.58	901981.17	870143.44	863364.35
R	866478.37	884328.17	817590.88	748751.84	1056114.78	1368029.03	969411.78	929873.41	900819.39	908446.6
S	1626983.67	2425955.51	2030234.5	1600550.86	1365464.61	1475905.05	4191709.64	1331055.55	974041.01	974632.49
T	1161070.7	1417685.96	1195073.85	1578327.04	913582.26	998144.16	1726788.11	1272842.84	950303.03	918961.45
U	1203723.99	1233940.65	1096720.54	1056299.63	1011996.24	915197.48	1122969.67	1138859.95	1194739.44	1034951.04
V	961857.23	992725.84	928536.2	857935.61	818109.77	811011.54	837749.11	993276.27	1061123.18	903492.4
W	1022344.98	1101800.42	1077289.26	1352532.98	832312.18	911332.74	1005382.4	1139186.08	1154866.62	891050.79
X	1033358.61	1083984.41	1111339.41	924613.67	951342.37	1032679.64	636981.34	755026.75	1018579.04	930349.65
