 	1	2	3	4	5	6	7	8	9	10
A	876806.6	871156.56	800300.9	917052.47	849611.26	837206.27	816004.52	844238.78	824296.28	743223.52
B	1160788.64	1165740.19	1142348.27	10743762.6	1122635.07	1031167.52	894867.23	1079578.73	938520.55	792090.42
C	10082435.84	10215752.82	8899900.35	6382398.35	5367179.94	7249846.3	4535860.87	9018174.41	5986179.68	883556.36
D	13198707.11	10428756.47	9241882.0	6686448.78	4854692.8	5982029.5	7867324.23	8361356.09	5707874.81	922276.98
E	11247106.76	13448323.24	8752601.7	8573911.14	8027048.82	1968962.05	5276958.76	2429761.21	6529905.28	956560.89
F	13934976.43	11144110.1	10402377.91	7655329.52	9431619.24	1946115.75	5550504.04	2691836.41	7349466.08	1048089.68
G	9446100.98	9758512.36	11084150.74	8311084.57	12344262.72	2203232.05	8890274.88	3943724.51	8236906.37	1049618.13
H	9740459.32	8698900.26	9843518.53	7543116.11	13048520.31	2425037.76	10908050.09	3899208.4	7780501.16	1099877.87
I	11962921.66	10531734.94	10443685.02	7634951.44	16545786.8	2288362.02	16015096.75	16478804.74	9206780.98	1243196.14
J	11318944.69	11475848.33	10210863.98	6888098.17	17667849.01	2453212.92	16842074.15	93977721.12	16616204.88	1497821.92
K	10573580.59	10051513.64	10266796.48	8967269.52	8702525.7	2029724.76	8960612.43	6801464.54	8811453.54	1289382.98
L	10796720.79	10075245.14	8422688.38	7923801.71	6855247.05	1778824.4	5505628.42	2691633.71	8766089.43	1254425.58
M	9523075.57	9267225.51	8497680.03	6797034.02	8869462.38	1628999.38	5602315.54	2801731.14	6176274.8	1115807.81
N	10051615.94	8317528.44	7785339.78	7816967.37	7859806.07	1601063.45	7226264.57	2534643.75	6484507.36	1063348.12
O	7395755.23	9952819.16	7994200.22	8124166.22	10830236.22	1906408.08	8264040.64	2767762.29	8021032.19	1056682.85
P	6697108.7	7373933.9	8110603.85	8751370.2	8279673.62	1785278.21	7515519.61	2589452.56	6137152.9	970494.87
Q	6982153.98	6124987.23	6453673.29	6314416.1	3838693.24	1789579.15	6531677.14	2541545.38	5808904.66	981014.85
R	8857745.95	6262948.16	6824928.27	6285266.73	5069093.41	2470149.69	7178618.97	2936137.17	5682348.58	955656.12
S	16900030.12	18633259.93	12426730.55	15133638.52	11889893.18	12567040.76	8920611.85	10972540.59	8459844.53	1058741.87
T	20568368.17	19077120.55	16242182.66	17925501.18	17637655.44	20891028.27	12822318.28	16534390.11	11743933.9	1089117.29
U	16118866.33	15028778.44	12817773.45	17711334.3	13395932.43	5320498.48	11293738.36	5788537.52	11355637.06	1106208.99
V	11823982.64	12843482.73	11883026.29	10713017.62	12505655.81	3200856.33	10138683.54	4068494.89	9528695.04	1081107.15
W	14549054.54	15476241.91	19133037.03	11702530.77	19229909.88	10436863.97	7173573.81	5951613.37	11878794.79	1057683.4
X	16036829.58	16034221.62	21305551.27	25405588.7	20951981.02	152671548.68	5753441.86	6263101.08	8700783.84	1070037.79
