 	1	2	3	4	5	6	7	8	9	10
A	4566247.5	4567234.25	3534160.05	2982825.05	2637888.33	2466713.71	3065020.97	3093960.02	3205666.29	1698154.66
B	5927494.19	6698631.28	6011923.24	3405537.72	6468690.83	1837508.44	4854874.28	6353317.9	4327092.33	2022601.31
C	8862003.04	9567450.18	9117970.9	6528424.92	2720243.52	2131533.35	3975832.96	5537392.95	7244207.64	5563397.06
D	6615584.55	6427649.44	5324920.2	3402962.31	1845331.55	1975486.64	5858039.41	9550006.1	5268891.4	2187339.74
E	4172566.28	4815457.53	4458986.76	3324826.64	1507545.84	1722085.7	5447757.29	6009177.69	4105436.38	2045185.27
F	3911682.8	3917224.38	3566023.05	2682794.44	1756393.65	2320611.79	6342758.49	6983478.25	4674861.05	4037352.8
G	4220618.94	4242449.31	4083843.05	4224137.1	3643464.7	4307790.13	4698777.77	4479394.93	4140819.04	3364201.6
H	4392904.83	4453701.34	4425457.95	4519042.75	4149566.56	38587374.09	6409796.12	4363506.17	4452719.33	4089318.57
I	4705694.5	3932613.87	3665321.36	3868409.81	3107596.16	4483918.2	4621897.24	4886058.73	4369875.03	3345326.41
J	4037564.87	3570167.28	3222533.72	3596767.76	3660599.36	2976773.95	4017356.45	3253618.51	4004360.15	2355592.97
K	6444310.06	5918657.89	5181084.27	5367036.54	4743280.96	2671952.0	5595888.9	4500686.47	5467743.43	3636055.78
L	9613492.9	9032046.35	7237196.58	5544772.68	2676210.99	2789307.88	7096479.73	6887285.02	7852297.13	3962716.73
M	8328930.77	8995361.96	9070980.78	7305393.98	4156580.12	3138676.71	6793576.32	6702069.8	7144159.0	3799250.04
N	8347716.74	7534508.67	7675903.01	6444813.49	6800710.98	2732091.54	5453743.02	5883295.38	6586288.37	4671482.88
O	6226119.1	6272925.01	7109994.51	6488990.66	11444670.75	2818467.14	5821132.03	5598465.5	5155881.64	3982073.62
P	5771280.79	5886420.44	5146357.25	6206366.43	22077634.08	3784860.97	5022659.31	4474753.64	4845993.91	2656928.36
Q	5565584.33	5383775.63	4661648.8	5577761.3	3341898.79	2762355.63	4750502.62	4718770.05	4537067.24	3032526.16
R	5804398.04	5403286.79	4864420.71	5129226.39	2392420.25	2904217.22	5344129.82	4792792.49	4524931.95	2142696.22
S	6813738.97	7695872.35	6289405.26	7192507.39	2889736.63	2999752.12	7001771.43	6128212.5	3963513.81	1717795.5
T	8231682.56	9803765.92	8455526.18	9203416.79	3828517.0	3803071.31	9319495.18	8145863.58	4243667.58	2406252.2
U	9954498.51	7968928.36	7660761.92	8041950.11	4849210.67	4144706.75	7381811.39	7146713.12	6310568.58	2335835.5
V	7106356.04	7158167.54	6437280.93	6494618.46	4315941.43	3088118.91	5527769.16	5332821.41	4918290.32	3258669.43
W	7691628.43	7303633.22	5486092.98	6636155.39	3262216.05	3087449.0	5217564.49	5109854.21	4792173.08	2050444.46
X	6039354.1	4967545.53	4355855.21	4155708.24	2816212.03	2901708.09	7866439.61	5226536.6	5778852.5	2575417.42
