	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.0677	1.1336	0.9972	0.9728	1.0082	0.9018	0.7967	0.7178	0.7569	0.8957	0.9352	0.9352	0.6919	1.1263	1.0641	1.1393	1.2391	1.2422	1.2074	1.079	0.8872	0.8872	2.0674
-4	1.1542	1.1672	1.027	1.0025	1.0466	0.8071	0.8404	0.7594	0.7428	0.8157	0.6719	0.6719	0.7058	1.0085	0.9528	1.0495	1.3913	1.1487	1.3316	1.3797	1.0153	1.0153	1.2342
-3	1.271	1.2071	0.9474	1.1046	1.3131	1.0964	0.7516	0.5113	0.666	0.752	0.7934	0.7934	0.7587	1.0321	0.6935	0.7743	1.1627	1.3932	1.359	1.5171	0.8712	0.8712	1.2017
-2	1.4328	1.4254	1.01	1.0823	1.2778	1.0537	0.7637	0.5482	0.9691	0.6453	0.6267	0.6267	0.6053	0.812	0.7031	0.6405	1.2388	1.3301	1.4108	1.5065	1.0779	1.0779	1.0207
-1	0.48	0.384	0.5515	0.6737	0.4892	1.19	1.5665	2.505	2.1587	1.2161	1.8107	1.8107	1.3611	0.991	0.2915	0.3083	0.6476	0.5852	0.7545	0.7092	1.6775	1.6775	1.4785
1	0.1721	1.0849	1.8098	0.9975	1.3982	1.3623	2.0809	1.514	0.6061	1.1661	0.5722	0.5722	1.2287	0.6064	0.3374	0.432	1.0278	0.3611	0.732	1.508	2.1776	2.1776	1.1123
2	0.7909	0.6392	1.0612	1.1153	1.2224	1.4508	1.2448	1.1247	0.9079	0.9762	1.0703	1.0703	1.2736	0.8015	0.6973	0.9865	0.9014	1.0566	0.6693	1.1254	2.6964	2.6964	3.7319
3	0.8683	0.7882	0.7722	0.8708	0.997	0.7672	1.0419	0.9128	0.8322	1.06	1.8507	1.8507	1.6495	2.1055	0.7222	1.4077	0.8847	0.7573	0.3088	0.2738	0.3542	0.3542	0.5179
4	1.0841	1.2591	0.857	1.0758	1.0707	1.1151	1.1568	0.9959	0.7714	1.0377	0.7632	0.7632	0.7851	0.9599	1.3419	1.3245	1.1888	0.8463	0.6221	0.8205	0.462	0.462	0.7541
5	1.4879	1.0997	1.1065	0.4169	1.1375	1.0085	0.7718	0.3318	0.7195	1.2422	0.705	0.705	0.6342	0.9261	1.3929	1.5495	1.1523	1.0566	0.8861	0.7921	0.5241	0.5241	0.65
