	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.1047	1.0495	0.9375	1.1221	0.9433	0.7895	0.8814	0.8609	0.8616	0.8204	0.8835	0.8835	1.6203	0.9746	1.3519	1.2673	0.8313	0.9639	0.8496	0.7417	0.7759	0.7759	0.7108
-4	1.1638	1.1282	0.9726	0.9819	1.0288	0.9208	0.8745	0.8231	0.8156	0.8689	0.9837	0.9837	1.5017	0.9491	1.2599	1.1971	0.8909	0.9207	0.8576	0.7925	0.9291	0.9291	0.6691
-3	1.3583	1.115	0.8739	1.1229	1.0375	0.9295	0.8637	0.7898	0.9183	0.8464	0.9258	0.9258	1.1373	0.9154	1.2477	1.2888	1.0428	0.9705	0.9306	0.7756	0.9343	0.9343	0.8959
-2	1.0733	1.0865	0.9667	1.2693	0.8687	0.9866	0.9461	0.9521	0.92	0.8096	0.9112	0.9112	1.2417	0.9758	1.3414	1.2656	0.8415	1.0139	0.822	0.8326	0.9316	0.9316	0.7983
-1	1.2638	1.0047	0.9708	1.1058	0.9919	0.8961	0.7432	0.7738	0.8314	0.835	0.7781	0.7781	1.287	0.962	1.1839	1.2611	1.0014	1.174	0.9765	0.9532	1.0454	1.0454	0.8614
1	1.0246	0.8871	0.9211	1.0181	0.8015	0.8706	0.8168	0.7956	0.8105	0.7598	0.9354	0.9354	1.7173	1.0122	1.1348	1.1765	1.0876	1.0524	0.9924	0.8759	0.9875	0.9875	0.7459
2	1.0906	0.8987	0.7776	0.8943	0.8132	0.8233	0.69	0.6265	0.8122	0.7962	1.1091	1.1091	1.4372	1.0881	1.2684	1.2463	1.0873	1.1568	0.9977	0.9172	0.8933	0.8933	0.8185
3	1.1475	0.9284	0.8792	0.8807	1.0073	0.8086	0.7203	0.6823	0.7831	0.8312	0.9358	0.9358	1.6924	1.0574	1.2314	1.2298	1.0234	1.1059	0.8806	0.8713	0.7652	0.7652	0.738
4	1.2781	1.0329	0.7618	0.8845	0.9903	0.9171	0.7643	0.781	0.9126	0.9285	0.9661	0.9661	1.1869	1.0737	1.2986	1.1948	1.0871	0.978	0.9016	0.8538	0.8088	0.8088	0.7138
5	1.0453	0.915	0.8759	0.9088	0.9	0.8534	0.7125	0.7338	0.8066	0.8408	0.8692	0.8692	2.0855	1.1689	1.148	1.2734	0.9291	0.9637	0.7938	0.8387	0.6154	0.6154	0.6269
