	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.006	1.0615	1.0921	0.9709	0.8041	0.6633	0.9621	0.9457	1.1659	1.1292	1.3345	1.3345	1.2463	0.8906	0.9159	0.8919	1.1061	1.0379	0.9809	0.7659	0.773	0.773	1.0167
-4	1.0884	1.1354	1.2479	1.0671	0.7208	0.6275	0.8814	1.0167	1.1301	0.9962	1.3844	1.3844	1.387	0.9766	0.8215	0.9717	1.0564	0.8767	0.7626	0.9186	0.5866	0.5866	0.9625
-3	0.865	0.981	0.9633	1.0035	1.0924	0.9361	0.8738	0.8702	1.0375	1.1525	1.161	1.161	1.2498	1.0399	0.8548	0.8662	0.8811	1.0876	1.0873	1.0007	0.7182	0.7182	1.318
-2	0.6723	1.0572	0.8168	0.9965	1.0532	1.03	0.9213	1.0182	1.0857	0.9139	0.9624	0.9624	0.8919	1.1368	0.7787	0.9755	1.0359	1.3544	0.8564	1.4394	0.7414	0.7414	1.0666
-1	0.4759	0.4005	0.5586	0.9413	0.4367	0.4649	1.1924	1.4972	1.6203	0.939	1.3347	1.3347	1.0639	1.5141	0.2485	0.2552	0.7818	2.1438	0.9316	2.141	1.3216	1.3216	5.5813
1	0.1514	0.8345	1.2081	1.0693	0.58	0.5628	1.5509	1.3139	0.9262	1.5795	1.9016	1.9016	2.717	1.6781	0.3173	0.5407	0.7677	0.4099	0.3412	0.6193	1.1513	1.1513	11.8162
2	0.6539	0.3863	0.7105	1.0489	0.8185	0.8619	1.6909	1.5352	1.1237	0.9184	1.5884	1.5884	1.0475	0.8523	1.5759	2.1852	0.8474	0.774	0.1792	0.2509	0.4748	0.4748	1.1059
3	1.2026	0.8859	0.6887	1.1348	0.5913	0.8434	1.4761	1.593	1.0932	1.2369	1.491	1.491	1.4908	0.8676	0.9899	2.0605	0.48	0.6197	0.2333	0.156	0.2154	0.2154	0.5916
4	0.9736	0.9397	0.7993	0.9929	1.0389	0.771	0.8604	0.8076	0.9067	1.096	1.0567	1.0567	1.3556	1.1979	1.5257	1.5703	1.1071	0.8478	0.665	0.4807	0.6185	0.6185	0.7296
5	1.0425	1.0762	0.9686	0.9965	0.858	0.9871	0.8362	0.7812	1.0178	0.9639	1.013	1.013	1.235	1.0682	1.1532	1.6621	0.7859	0.9351	0.8315	0.7843	0.4353	0.4353	0.8316
