	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.0251	1.0429	1.0683	1.029	0.9424	0.8033	0.778	0.7979	0.7906	0.7957	1.035	1.035	1.077	1.1023	0.9225	0.928	1.0051	1.1591	1.2543	1.2182	1.3369	1.3369	1.2586
-4	1.0928	1.211	1.0835	1.0199	0.9044	0.9893	0.8167	0.7179	0.904	0.8863	0.926	0.926	1.1164	1.0389	0.8412	0.9549	1.0709	0.966	1.1961	1.1775	1.2894	1.2894	1.0998
-3	0.8508	0.9718	1.0062	1.0729	0.9761	0.8961	0.7464	0.746	0.8594	0.8545	1.0539	1.0539	1.1206	1.0118	1.0235	1.1878	1.251	1.1179	1.1654	1.033	1.5744	1.5744	1.3256
-2	0.989	0.9719	0.9241	1.0216	1.081	0.9908	0.6913	0.6681	0.8188	0.8914	0.9258	0.9258	1.3579	1.0765	0.9151	0.8659	1.0149	1.1912	1.3835	1.3146	1.106	1.106	1.2143
-1	1.0262	1.3119	1.0102	1.0132	1.0789	0.9749	0.5685	0.6426	0.8144	0.8909	0.7457	0.7457	1.2526	1.0802	0.7244	0.76	1.1095	1.0889	1.5643	1.4096	1.3877	1.3877	1.8549
1	1.183	1.4489	0.9799	0.9678	0.9636	0.9674	0.7384	0.6603	0.8162	0.9745	0.7355	0.7355	1.1481	0.9771	0.8066	1.0521	1.0246	1.1134	1.1604	1.1808	1.5057	1.5057	1.1343
2	1.0312	0.9591	0.8636	0.9395	0.9875	1.0404	0.7975	0.7085	0.8247	0.8621	1.0419	1.0419	1.5516	1.0138	0.9118	0.7811	0.8874	0.9728	1.4686	1.3243	1.7368	1.7368	1.1843
3	1.1171	0.9658	0.898	0.976	1.0035	1.0288	0.8321	0.7107	0.7601	0.9253	1.0753	1.0753	1.5167	0.9301	0.9262	0.9211	0.9776	1.0009	1.1552	1.2878	1.2272	1.2272	1.2985
4	1.1969	1.0443	0.9909	0.9868	1.0898	0.9792	0.7359	0.7424	0.8299	0.8974	1.1099	1.1099	1.172	1.018	0.8722	0.8671	0.9336	0.9581	1.3881	1.2434	1.5203	1.5203	1.3592
5	1.0464	1.0576	0.8086	0.934	1.0515	1.105	0.7922	0.8191	0.8962	0.9281	1.0561	1.0561	1.1414	0.9973	0.8453	0.9296	1.0845	1.0339	1.2629	1.3009	1.2445	1.2445	1.4095
