	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.1748	1.3144	1.0111	0.8332	0.8559	0.8073	0.7794	0.9287	0.8983	0.9084	0.7935	0.7935	0.8114	1.0781	0.8448	0.8659	1.031	1.0956	1.4176	1.384	1.2935	1.2935	1.3647
-4	1.0972	1.2211	1.1396	0.963	0.8488	0.6436	0.7407	0.7315	0.8076	0.7669	0.8797	0.8797	1.0199	0.9772	0.6989	0.6675	1.0716	1.0335	1.6437	2.0109	1.8488	1.8488	2.447
-3	0.8618	1.0923	0.9441	1.3228	1.0697	0.8835	0.6835	0.6256	0.6391	0.8341	0.7123	0.7123	0.7943	1.0031	0.6144	0.7297	0.9013	1.2495	1.8375	2.5243	1.8416	1.8416	2.6881
-2	1.1881	1.0809	1.0612	2.182	1.0684	1.0003	1.2495	0.9022	0.8391	0.6813	0.593	0.593	0.6387	1.0527	0.6934	0.6568	1.1078	1.0529	1.3818	1.7519	1.2953	1.2953	1.7867
-1	0.6497	0.4014	0.5845	0.689	0.4671	0.9658	1.3843	1.8937	1.1237	0.8278	0.9103	0.9103	0.9521	0.9853	0.3107	0.292	0.6465	1.031	2.5423	2.0318	1.2914	1.2914	7.163
1	0.4896	0.3785	0.8108	1.07	0.7994	0.8072	1.7418	1.8023	1.2458	1.5296	1.9418	1.9418	2.2181	1.5506	0.29	0.458	0.6783	0.3405	0.3518	0.5659	0.8264	0.8264	3.8482
2	0.7079	0.4297	0.6227	0.8107	0.8639	0.9342	1.2031	1.2068	1.0503	1.096	1.1735	1.1735	1.7657	0.8797	0.3704	0.5346	0.7048	1.0449	1.3979	2.0138	1.9545	1.9545	6.17
3	0.8909	0.6209	0.5719	0.8674	0.5787	0.6858	1.9156	2.4449	2.0303	1.5289	1.4153	1.4153	1.5018	0.7672	0.2703	0.3641	0.5237	0.4248	0.8183	0.6467	0.7312	0.7312	1.2375
4	1.3658	1.2104	0.823	1.037	0.9376	0.8798	0.8173	0.8691	0.8408	1.0744	0.906	0.906	1.4299	1.1256	0.6018	0.7807	0.9404	0.8734	1.1381	1.3858	1.004	1.004	1.3445
5	0.7691	0.6922	2.9365	1.318	0.9165	0.6252	0.8102	0.7502	0.9223	0.841	1.2079	1.2079	1.3976	0.9539	0.9129	0.8646	0.9272	0.8322	0.931	0.7096	0.7502	0.7502	0.8204
