	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.1147	1.104	0.8718	1.2356	1.0277	1.0277	0.6812	0.7733	0.8268	0.8091	0.934	0.934	1.1831	1.1051	1.0216	0.9941	1.0339	1.0704	1.3093	1.1677	1.4273	1.4273	1.2768
-4	1.0996	1.1889	0.9462	1.186	0.9979	0.9979	0.6689	0.7389	0.8267	0.8215	0.9399	0.9399	1.3688	0.9825	0.9445	1.0606	1.0185	1.0133	1.2689	1.1123	1.3191	1.3191	1.18
-3	1.7445	1.2577	0.801	1.0237	0.9311	0.9311	0.6454	0.5679	0.9895	0.7119	0.8727	0.8727	1.0482	0.7766	1.2482	0.8676	1.2417	1.1356	1.2539	0.8377	1.4208	1.4208	0.8582
-2	1.2219	1.2428	0.8081	1.3129	1.094	1.094	0.6518	0.6541	1.0955	0.7958	0.8739	0.8739	1.1461	0.9115	0.9265	1.0926	1.1069	1.2131	1.1532	1.1063	1.1944	1.1944	1.0857
-1	1.2706	1.1666	0.8104	0.9405	1.0808	1.0808	0.5387	0.6542	0.8227	0.7496	0.723	0.723	1.1336	1.0489	1.1359	1.1126	1.3197	1.3433	1.149	1.0213	1.4273	1.4273	1.0932
1	1.1467	1.0111	0.7472	1.0102	1.0252	1.0252	0.5718	0.5683	0.7977	0.6945	0.7512	0.7512	1.389	0.9979	1.045	1.1713	1.3881	1.4893	1.1917	1.0393	1.3141	1.3141	1.1028
2	1.1029	0.9382	0.5604	0.8982	0.971	0.971	0.5647	0.5465	0.8087	0.7764	0.9658	0.9658	1.2828	1.0128	0.9497	0.9762	1.4159	1.2994	1.5956	1.204	1.6905	1.6905	1.1819
3	1.0884	1.0212	0.742	0.9898	0.97	0.97	0.6036	0.6524	0.7983	0.8913	0.9449	0.9449	1.4711	0.9951	0.7767	0.885	1.1871	1.163	1.2889	1.491	1.352	1.352	0.9738
4	1.0646	0.9495	0.6975	0.8362	1.0304	1.0304	0.6445	0.6688	1.0973	0.92	0.9962	0.9962	1.1006	1.1055	0.8629	0.8121	1.2639	1.145	1.4078	1.2641	1.5081	1.5081	1.0278
5	0.9567	1.0482	0.5893	0.9265	1.0166	1.0166	0.7028	0.7223	1.0259	0.9679	1.0073	1.0073	1.4447	1.0279	0.7772	0.7976	1.2082	1.058	1.3379	1.3281	1.0975	1.0975	1.4273
