	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.0901	1.1757	1.0592	1.0014	0.8204	0.7888	0.7126	0.8843	0.9046	0.8733	1.1707	1.1707	1.2003	1.1076	0.9147	0.9701	0.9022	0.9835	0.9922	1.0589	1.1839	1.1839	1.1848
-4	1.0802	1.2049	1.1149	0.9846	0.8406	0.9224	0.7713	0.785	0.9051	0.9184	1.064	1.064	1.2363	1.0023	0.8784	1.0162	0.9772	0.8596	1.0927	1.0934	1.2856	1.2856	1.1754
-3	0.9285	0.9612	0.9156	1.019	1.0869	1.0377	0.7357	0.8334	0.9907	0.9343	1.0501	1.0501	1.2807	1.0096	1.0721	1.4149	1.0442	0.9392	0.9913	0.8985	1.1958	1.1958	1.2452
-2	1.0488	1.0227	1.0121	0.9755	1.219	1.1215	0.7922	0.7198	0.9738	0.9224	1.0565	1.0565	1.2124	0.994	1.0896	0.9577	0.8556	0.9834	1.1846	1.1745	0.9595	0.9595	1.2792
-1	1.0366	1.5762	0.9859	1.0877	0.9924	0.8495	0.6939	0.8982	1.0336	1.1084	0.8442	0.8442	1.0613	0.8659	0.6382	0.7707	0.8854	0.9055	1.4932	1.2028	1.0542	1.0542	2.1341
1	1.106	1.4861	1.1402	1.1396	1.0619	1.034	0.7751	0.7482	0.8923	1.0511	0.8672	0.8672	0.9992	0.8695	0.7858	0.8646	0.8698	0.9568	1.3237	1.2644	1.1743	1.1743	1.2518
2	1.3163	1.2459	0.9785	1.1502	1.0896	1.27	0.7791	0.7903	0.8586	0.9075	1.0951	1.0951	1.0192	0.9591	0.8455	0.9411	0.8927	1.0316	1.2934	1.0462	1.2262	1.2262	0.9737
3	1.3386	1.1183	0.9958	0.9734	1.14	1.2378	0.826	0.7957	0.8056	0.9485	1.0756	1.0756	1.2675	0.9814	0.9229	0.9773	0.8539	0.8979	1.0327	1.1622	1.1503	1.1503	1.1815
4	1.3657	1.1511	1.0572	0.9986	1.1282	1.1334	0.7612	0.7955	0.8553	0.9037	1.1195	1.1195	1.177	1.2179	0.8368	0.9067	0.753	0.8437	1.2016	1.0541	1.2062	1.2062	0.9905
5	1.2231	1.1806	0.9016	0.8694	0.9668	1.0861	0.7753	0.7897	0.941	0.8805	1.1334	1.1334	1.2076	1.0444	0.9089	1.0515	0.8576	0.8999	1.0244	1.1804	1.072	1.072	1.2189
