	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.073	1.2449	0.9912	0.9878	0.8801	0.802	0.8512	0.9548	1.0004	0.9604	0.989	0.989	1.0041	0.9885	0.7936	0.8701	0.9544	1.0997	1.3409	1.2017	1.196	1.196	1.6864
-4	1.1039	1.0959	1.144	1.0424	0.8268	0.6721	0.8252	0.801	0.9917	0.8552	1.0115	1.0115	1.1852	0.7696	0.7892	0.7631	1.0786	0.9173	1.5768	1.593	1.4092	1.4092	2.1782
-3	0.9338	1.029	0.8978	1.103	0.9952	0.9355	0.6995	0.6006	0.7478	0.7762	0.8477	0.8477	0.8431	0.9486	0.5614	0.5863	0.8812	1.2045	2.1174	2.3944	1.61	1.61	2.1867
-2	1.1091	1.0929	1.0784	1.0114	1.1254	0.9227	0.9786	0.8615	0.8308	0.8212	0.6373	0.6373	0.7077	0.8126	0.6047	0.575	1.1252	1.0616	1.7351	1.9203	1.5672	1.5672	2.0569
-1	0.721	0.4867	0.6387	0.7798	0.5456	0.7838	1.1558	1.7696	1.0654	0.7571	0.7162	0.7162	0.5978	0.9878	0.3152	0.3166	0.7679	1.0916	2.9337	2.3495	2.0539	2.0539	5.3024
1	0.3126	0.246	0.7955	0.763	0.7625	1.0944	2.64	1.8537	0.9875	0.8263	2.0398	2.0398	1.8489	1.4024	0.2603	0.2991	0.8036	0.3834	0.496	0.9481	1.4082	1.4082	11.8663
2	0.6231	0.4218	0.6844	0.9886	0.8432	0.9068	1.054	1.1161	0.9641	1.0263	1.2348	1.2348	1.9579	0.8359	0.4983	0.6849	0.9046	1.0064	1.2923	1.9452	1.5002	1.5002	5.3118
3	0.8235	0.8845	0.702	1.239	0.7898	0.9555	1.473	1.7249	1.5087	1.022	1.0628	1.0628	1.37	0.8825	0.3395	0.665	0.941	0.6099	1.1654	1.0799	0.7962	0.7962	0.9206
4	1.0964	1.1944	0.9434	1.0376	0.9309	0.9636	0.8796	0.8231	0.7556	1.1103	0.9674	0.9674	1.1228	1.085	0.8951	0.9784	0.9693	0.7831	1.0862	1.4155	1.0217	1.0217	1.4504
5	1.6564	1.1069	1.0784	0.9246	1.1373	0.9135	0.8989	0.7846	0.9178	0.9021	1.0628	1.0628	0.9805	0.9036	0.9348	0.8253	0.827	0.881	1.1248	1.0642	1.0779	1.0779	1.0084
