	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.1408	1.21	1.0013	0.9299	0.9729	0.9465	0.7678	0.7556	0.7709	0.8573	0.816	0.816	0.7615	1.0274	1.4872	1.4374	1.007	1.0808	0.9869	0.9726	1.2509	1.2509	1.4484
-4	1.2797	1.3341	1.0361	1.0256	0.8563	0.7431	0.7558	0.7413	0.7879	0.8256	0.818	0.818	0.9912	0.9748	1.1968	1.3564	1.1201	0.8865	1.0373	1.2591	1.099	1.099	2.1183
-3	1.1495	1.1717	0.9148	1.0471	1.0519	1.0586	0.6328	0.5727	0.7454	0.6992	0.8188	0.8188	0.8828	1.0179	1.1786	1.2926	1.0891	1.2318	1.2052	1.2866	1.4068	1.4068	2.2679
-2	1.0811	1.3647	0.9535	1.0306	1.1443	0.9376	0.6367	0.546	0.7232	0.6451	0.6173	0.6173	0.6577	1.1213	1.2141	1.5544	1.1911	1.3162	1.0992	1.1966	1.1371	1.1371	1.988
-1	0.842	0.6311	0.8164	0.867	0.6711	0.8602	0.962	1.0539	0.8859	0.6539	0.8456	0.8456	0.6894	1.3714	0.7258	0.8409	1.0721	1.3619	2.2515	1.4647	1.6424	1.6424	2.8936
1	0.6449	0.6116	0.8515	0.9744	0.7123	0.9387	1.7904	1.2239	1.0633	1.1716	1.6012	1.6012	1.3079	1.3712	0.9442	1.1436	1.2728	0.6344	0.3006	0.416	0.6362	0.6362	2.1195
2	0.6297	0.4172	0.6852	0.8658	0.9213	0.9239	1.0248	0.9191	1.388	1.0642	1.3432	1.3432	1.3869	0.8595	1.3187	1.77	1.0132	1.1157	0.5989	0.6205	1.0854	1.0854	1.8302
3	0.7871	0.4645	0.543	1.4445	0.5985	0.6746	1.6526	2.0514	2.5567	2.1009	2.2046	2.2046	1.0883	0.5233	0.469	0.7	0.5613	0.4649	0.3135	0.2459	0.3074	0.3074	0.405
4	1.2942	1.0078	0.8286	0.9642	0.9815	0.9887	0.8411	0.7331	0.9062	0.9962	1.0995	1.0995	1.0929	0.95	1.5242	1.5987	1.0217	0.862	0.6652	0.6083	0.5404	0.5404	0.5258
5	1.2579	1.1343	0.9438	1.0828	1.0914	1.1767	0.7331	0.8604	0.9071	1.0413	1.036	1.036	0.8723	0.978	1.1748	1.3874	0.9159	1.0481	0.7454	0.6959	0.6022	0.6022	0.7307
