	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.0078	1.2673	0.929	0.8359	0.9391	0.8829	0.7139	0.8058	0.8242	0.8415	0.962	0.962	0.9691	1.2061	1.3293	1.3392	0.9516	1.0524	1.0888	0.8898	0.8488	0.8488	0.9126
-4	1.1714	1.1972	1.1347	1.0396	0.8537	0.7207	0.7566	0.7732	0.8097	0.8121	0.9493	0.9493	1.1208	1.1975	1.1348	1.2563	1.0323	0.939	1.0014	1.1396	0.8831	0.8831	1.1025
-3	0.9244	1.0877	0.9347	1.0751	1.1349	1.0844	0.6622	0.6972	0.6854	0.7739	0.8517	0.8517	0.9117	1.1598	1.015	1.1176	0.8917	1.2801	1.2605	1.5273	1.1023	1.1023	1.1993
-2	1.0837	1.0924	0.9486	0.9604	1.1444	0.9388	0.752	0.6787	0.7799	0.6744	0.6422	0.6422	0.6973	1.2779	1.1876	1.241	1.119	1.1384	1.1845	1.4195	1.0044	1.0044	1.251
-1	0.8149	0.5062	0.7725	0.8364	0.6811	0.8048	0.9703	1.2299	0.9395	0.6886	0.9878	0.9878	1.0763	1.5054	0.4996	0.4947	1.0438	1.2976	2.282	1.405	1.2536	1.2536	2.4792
1	1.1113	0.3454	0.9669	0.9064	0.7332	0.9011	1.5492	1.3318	0.9287	1.0614	1.6907	1.6907	1.7222	1.8407	0.55	0.7061	0.9528	0.4724	0.3623	0.7737	0.7288	0.7288	2.7486
2	0.6124	0.3526	0.5857	0.8843	0.6646	0.8273	1.0216	0.9264	1.2384	1.4118	1.568	1.568	2.2185	0.9708	0.5236	0.7585	0.78	1.0083	0.9905	1.541	1.4265	1.4265	2.8208
3	0.666	0.4953	0.5541	1.4247	0.5454	0.7366	1.6153	1.893	1.9631	1.8694	1.5337	1.5337	1.8354	0.9884	0.3029	0.5509	0.7759	0.4885	0.6711	0.5151	0.7662	0.7662	0.6161
4	1.1619	0.9805	0.8476	1.1343	0.966	0.9176	0.8715	0.8828	0.8851	1.0071	1.0612	1.0612	1.1413	1.1436	0.8684	1.3891	0.9697	0.8651	0.9305	1.1111	0.7311	0.7311	1.1457
5	1.4718	1.3166	1.0019	1.1348	1.0219	0.9834	1.0466	0.8355	0.9274	0.9788	0.9919	0.9919	0.9768	0.9426	0.8193	0.884	0.8319	0.9865	1.0111	0.972	0.7816	0.7816	0.8353
