	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.9108	0.9359	0.9156	1.0286	0.9258	0.9258	0.8737	0.8881	0.8195	0.8496	0.9843	0.9843	1.2946	1.0857	1.1783	1.3528	0.8866	0.8926	1.0918	1.0402	1.0565	1.0565	1.1097
-4	0.8282	0.8844	0.9482	0.9551	0.9409	0.9409	0.8169	0.8679	0.793	0.7983	1.0965	1.0965	1.3099	1.0059	1.0319	1.3476	0.9336	0.8711	1.0514	1.4152	1.0407	1.0407	1.1644
-3	0.8514	0.8384	0.8929	1.0041	0.9219	0.9219	0.8187	0.7815	0.8618	0.8485	0.9858	0.9858	1.1083	1.0768	1.2035	1.8175	1.0905	0.9806	0.9057	0.9382	1.0638	1.0638	1.2006
-2	0.8434	0.931	0.8686	1.0911	0.9264	0.9264	0.9106	0.9217	0.889	0.8237	1.1109	1.1109	1.1374	1.0509	1.1328	1.3614	0.9958	1.2149	0.8924	0.9156	0.8405	0.8405	0.9953
-1	0.9109	1.1518	0.907	1.1038	0.9837	0.9837	0.8525	1.001	0.8138	0.819	1.1749	1.1749	1.0018	0.9698	1.0024	1.304	0.9976	0.9477	0.9307	1.2153	1.2912	1.2912	1.2497
1	0.7783	0.9018	0.9011	0.9386	0.8814	0.8814	0.7844	0.8466	0.7374	0.7624	1.4344	1.4344	2.1165	1.2317	0.9371	1.1577	0.8617	0.9365	0.823	0.7894	0.9393	0.9393	1.2969
2	0.7859	0.767	0.8349	1.0103	0.9032	0.9032	0.8046	0.8037	0.8308	1.0122	1.1236	1.1236	0.9715	1.1537	1.588	1.7101	0.9886	0.9996	0.8338	0.7921	0.8431	0.8431	0.8304
3	0.9092	0.7799	0.8815	0.9419	0.9097	0.9097	0.8565	0.8518	0.881	0.9591	1.0757	1.0757	1.2325	1.0654	1.311	1.607	0.9729	0.9101	0.8312	0.875	0.7352	0.7352	0.8724
4	0.8851	0.9092	0.8792	0.9959	0.926	0.926	0.7975	0.8395	0.8819	0.8686	1.0658	1.0658	1.0882	1.0977	1.3174	1.5741	0.99	0.9537	0.9143	0.9377	0.9896	0.9896	1.2603
5	0.8758	0.8797	0.8929	0.9833	0.892	0.892	0.8155	0.8324	0.8762	0.8912	1.0455	1.0455	1.1529	1.0651	1.3084	1.6781	1.0173	1.0157	0.8402	0.813	0.8258	0.8258	0.9777
