	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.9492	1.0202	0.8841	0.7844	0.9194	0.7537	0.8866	0.79	0.9209	1.013	0.9399	0.9399	0.8564	1.1319	1.0615	1.1455	1.2038	1.2066	1.258	1.0592	0.9994	0.9994	0.8941
-4	0.989	1.034	1.0953	1.0336	0.7707	0.6257	0.7849	0.8569	0.955	0.9445	0.9734	0.9734	0.9814	0.9669	0.9243	0.8913	1.2805	1.007	1.4066	1.5128	1.0281	1.0281	1.0155
-3	0.9616	0.9167	0.9213	0.939	1.1048	0.7797	0.7747	0.7455	0.814	0.932	1.316	1.316	1.0513	0.9442	0.6825	0.7732	0.9668	1.2499	1.4172	1.6486	0.9294	0.9294	1.0774
-2	1.1283	1.1129	1.0555	1.1428	0.9417	0.8557	0.7822	0.7356	0.9002	0.8056	0.5849	0.5849	0.5893	1.0443	0.9153	0.8818	1.2165	1.1915	1.4388	1.8199	1.2563	1.2563	0.9547
-1	0.3801	0.2628	0.4003	0.8307	0.4089	0.8008	1.7005	5.082	2.8801	1.2602	1.3294	1.3294	0.5958	0.5553	0.2791	0.2743	0.4409	0.433	0.463	0.4535	0.7859	0.7859	2.0613
1	0.1435	0.565	1.704	1.1629	1.2163	1.0489	1.5691	1.209	0.9355	1.5785	0.677	0.677	1.375	0.582	0.2949	0.4132	1.327	0.4656	0.7611	2.1343	1.9084	1.9084	1.0791
2	0.6703	0.5152	0.9543	1.1796	1.311	1.1332	1.0341	0.7756	0.918	0.8601	1.0687	1.0687	1.3079	1.0406	0.932	1.6563	1.072	1.2007	0.7118	0.8382	1.657	1.657	1.3039
3	0.7214	0.5678	0.5623	1.0142	0.6703	0.7018	1.265	1.7463	1.4001	1.2538	1.6501	1.6501	2.1755	1.199	0.7799	1.3169	0.6435	0.6924	0.3532	0.3007	0.2983	0.2983	0.4004
4	0.9862	0.821	0.6938	0.9858	0.8713	0.8169	0.7852	0.7892	0.8894	0.9801	1.1221	1.1221	1.5111	1.5499	1.2268	1.6112	1.0494	0.8965	0.7256	0.6745	0.5252	0.5252	0.6831
5	1.075	0.9211	0.8465	0.7853	0.9966	0.9243	0.6564	0.6372	0.8378	0.9559	1.1068	1.1068	1.3708	1.2361	1.2314	1.3609	1.0336	1.0052	0.8704	0.9341	0.5629	0.5629	0.7793
