	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.1324	1.2158	1.0052	1.0183	0.9827	0.9845	0.7966	0.8686	0.849	0.8478	0.9755	0.9755	1.0951	1.0385	1.0266	0.9579	0.8909	1.0742	1.2221	1.0366	1.2571	1.2571	1.4008
-4	1.1198	1.1689	1.0957	1.0573	0.9336	0.8343	0.7747	0.8918	0.8011	0.8649	0.9734	0.9734	1.0932	0.9126	0.8056	0.9287	1.0462	0.9197	1.329	1.5066	1.3523	1.3523	1.4807
-3	1.0665	1.0999	1.0296	1.072	1.0926	1.0252	0.7565	0.7034	0.7066	0.7645	0.8365	0.8365	0.9497	0.9726	0.7544	0.7737	1.0127	1.1801	1.511	1.7644	1.6932	1.6932	1.8883
-2	1.2631	1.1858	1.1197	1.0641	1.1382	1.0808	0.9095	0.881	0.8666	0.7629	0.6138	0.6138	0.6756	0.9665	0.6688	0.857	1.145	1.1504	1.2629	1.4524	1.1724	1.1724	1.5907
-1	0.8832	0.5209	0.7994	0.829	0.6436	0.9523	1.3703	1.8616	1.0619	0.8344	1.0619	1.0619	0.6671	1.3866	0.4937	0.4874	0.8702	1.1266	1.6203	1.3587	1.4337	1.4337	4.1804
1	0.4949	0.3872	0.7674	0.9142	0.6486	0.8337	1.6459	1.7822	1.1841	1.1665	1.9859	1.9859	1.1093	1.8152	0.6944	0.7608	1.124	0.5542	0.3796	0.666	0.9193	0.9193	2.1762
2	0.9251	0.4848	0.8174	0.9571	0.8798	0.9427	1.0218	0.9503	1.1524	1.0242	1.0959	1.0959	1.7097	0.971	0.8029	1.0434	1.0513	1.0467	0.8927	1.1877	1.8079	1.8079	1.9956
3	1.0961	0.5293	0.5772	0.677	0.5299	0.706	1.6459	2.4253	1.7646	1.4173	2.077	2.077	1.0744	0.8588	0.5877	0.8705	0.5912	0.5805	0.392	0.2763	0.3438	0.3438	0.4132
4	0.9596	1.0313	0.9118	0.9817	0.9903	0.8698	0.8676	0.8169	0.8257	0.903	1.1302	1.1302	1.3159	1.139	1.0492	1.2599	1.0896	0.9516	0.969	0.9196	0.5725	0.5725	1.1638
5	1.4794	1.1554	1.0105	1.8548	0.904	0.9531	0.7757	0.7935	0.9106	0.9492	1.901	1.901	2.0102	0.9333	0.5962	0.8217	0.7728	0.8114	0.6042	0.618	0.5042	0.5042	0.7304
