	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.1931	1.0514	1.0177	0.8195	0.8796	0.7264	0.9573	0.9052	0.9461	0.9416	0.9721	0.9721	1.0687	0.9208	0.995	0.9596	1.1225	1.1055	1.2416	0.9958	0.8766	0.8766	1.1159
-4	1.0851	1.2759	1.0634	0.975	0.8983	0.6666	0.8514	0.8983	0.9633	0.8681	1.1069	1.1069	1.0527	0.8719	0.7837	0.8017	1.2507	0.9371	1.3481	1.2767	0.8941	0.8941	1.0434
-3	0.9451	0.8451	0.7644	0.9182	0.9679	0.7942	0.9278	0.9997	0.9272	0.9189	1.3335	1.3335	1.4638	0.8069	0.5222	0.603	0.9327	1.0297	1.4541	1.7639	0.9615	0.9615	1.117
-2	1.3342	1.1729	1.1619	1.0937	1.4317	0.9228	0.8782	0.7702	0.7686	0.674	0.6352	0.6352	0.6566	0.8249	0.7906	0.7487	1.1716	1.2615	1.3233	1.4731	1.0541	1.0541	1.1516
-1	0.3429	0.224	0.4852	0.5573	0.4699	1.0324	1.4806	2.0167	1.8466	0.7591	0.9383	0.9383	0.8678	0.4941	0.2072	0.2453	0.5024	2.0639	2.4774	1.5463	1.7739	1.7739	2.1495
1	0.1709	1.104	1.7237	0.959	0.9915	0.7664	1.773	1.2291	0.7519	1.3288	0.5898	0.5898	1.0693	0.4426	0.1657	0.2198	1.2017	0.4101	1.1708	2.8909	1.6362	1.6362	1.747
2	0.7322	0.4382	0.9679	1.025	0.9529	1.0964	1.7761	1.3943	0.9583	0.8384	1.2662	1.2662	1.4089	0.626	0.4276	0.6176	0.8817	0.9273	1.1479	1.5422	1.9811	1.9811	4.0176
3	1.2725	0.6503	0.8837	1.0748	0.7688	0.9082	1.9215	1.7212	1.3102	1.1941	1.3594	1.3594	1.6994	1.2906	0.2726	0.4331	0.7617	0.6457	0.4728	0.4341	0.4392	0.4392	0.8715
4	1.1581	1.2044	0.8983	1.0918	1.0304	0.9492	1.0192	0.8166	0.8641	1.0908	0.9217	0.9217	1.5192	1.1028	0.6989	0.7709	0.976	0.7957	1.1124	1.0711	0.8579	0.8579	1.2768
5	1.4618	1.1823	1.1594	1.0609	1.1109	1.0504	0.9338	0.889	1.0553	0.9337	0.9372	0.9372	1.0434	0.9981	0.6905	0.7565	0.8676	0.8534	1.0128	1.064	0.6396	0.6396	1.0997
