 	1	2	3	4	5	6	7	8	9	10
A	2870852.20	3152930.01	3162016.22	2989436.57	3165341.73	3153775.33	3143574.07	3203400.17	3484470.32	4670787.22
B	4595546.71	4839718.33	4764170.20	4055283.48	3881261.04	4185930.46	4256537.03	4129284.30	5408721.03	17812148.14
C	29275951.04	34636871.24	34447593.95	21379193.57	17886106.88	39425178.44	41108424.07	39203444.24	48044684.86	51434636.02
D	26089226.71	30068801.46	28544892.77	18282382.72	12721338.21	32673226.47	28370617.65	33445193.56	45215992.53	18135083.98
E	12404629.11	19201477.29	27232017.21	14405143.80	23156083.40	19393732.17	26805103.00	28090685.00	48533547.29	22314774.79
F	10087463.77	15194564.43	14511496.43	14423232.02	23196805.90	11054897.65	26065631.99	26335144.17	44728548.12	20685446.46
G	29560465.01	48725474.49	51397278.48	57481415.13	60234762.13	33620809.87	45938123.93	49301851.75	57781255.60	83157106.88
H	34970077.57	47307839.24	58051789.85	50183484.62	75159523.85	79859308.64	52069670.87	71034385.95	69550678.83	75807415.59
I	56242743.85	95772701.94	194817753.59	366852971.39	173719606.79	60137597.69	74361109.36	87171019.19	64566039.40	57705482.55
J	63672955.60	93390663.36	187870927.44	123804254.67	196835742.17	51333924.58	50425158.18	122901106.15	99377699.60	134919565.80
K	40961949.44	54553145.12	64634648.52	52556459.59	77566500.21	53365518.95	98377556.53	85660571.34	74671715.17	80911345.45
L	39931564.83	38137588.32	28820620.09	29536948.56	33316287.88	58994586.68	80301881.48	63175063.95	71228806.24	48711340.36
M	42961056.93	48097505.91	34836683.19	36966263.25	51329120.71	70916399.05	151399713.28	74888288.80	63093139.86	83395285.10
N	43280685.68	38577314.74	27487344.47	26411256.69	34818467.87	68367872.74	46470367.70	60689385.37	55011665.60	99491591.35
O	44508166.56	48033465.56	37450142.74	25662565.73	55633686.94	87254623.74	52686646.33	61121960.61	52178527.64	57882166.42
P	66973636.84	48649334.12	26626641.59	25324670.89	46503501.72	58965146.21	45018182.26	59848063.63	45766790.73	12443149.35
Q	50680788.68	38302523.81	22163526.17	22152293.70	26136720.63	67828798.42	47112524.17	43097125.74	46461984.21	8081394.85
R	67242243.97	40063004.73	24313718.02	30033993.56	35479217.24	60144747.38	56501771.21	45610516.72	52928789.56	9498629.95
S	42499717.93	71968336.01	86915747.38	83466470.21	64859583.03	80222068.76	74109571.75	51651537.52	55126465.69	15194526.94
T	47563582.13	83307695.11	104768996.96	117216730.14	111410375.81	106289641.19	199863534.17	207347964.12	68853661.22	8498466.21
U	68826306.36	69274125.63	52388735.27	62262698.09	50894166.54	73056617.94	88635507.68	80765679.81	67840248.22	7967855.85
V	56091361.53	68346077.06	48549077.82	54314255.96	69965789.63	37346372.90	57847863.29	60743198.92	58049692.44	8746801.79
W	47701504.90	82621242.74	92850371.41	57621556.32	65555492.75	25512477.63	42583235.96	102506851.64	66582896.49	9358305.59
X	68043137.15	84566875.41	89698247.18	34311306.30	17827638.24	12111666.10	25347408.62	60411787.53	74065332.31	14405764.51
