 	1	2	3	4	5	6	7	8	9	10
A	40962848.73	33236438.09	33428561.74	21222580.45	26010742.15	26327816.84	14232155.79	23262629.46	19305257.14	13282894.51
B	39732429.6	40095471.83	27279862.46	22135218.68	16344969.65	13997088.59	9223200.7	17157937.05	24294416.44	14524145.13
C	39959754.82	38992012.99	25545513.66	18117576.15	16377311.69	15413928.04	2844170.1	8789160.6	20024636.11	17158038.73
D	36863185.45	29786945.95	20148978.09	17323250.57	16215178.19	8176869.16	3528367.05	11724723.45	21567723.56	23077548.25
E	45673249.21	39617807.19	45371393.91	26947339.07	41934834.86	16600522.4	12947120.93	37998509.15	41337839.93	63656539.15
F	38285604.12	34386613.88	30405363.7	35004300.51	35857667.18	48733463.71	32425191.6	39460733.58	41606509.24	44159772.62
G	48730218.14	42518308.11	41553309.9	30648976.93	70810374.37	65951394.21	59972922.06	86689454.19	57470571.35	33077180.18
H	47091284.38	47589651.64	34477730.87	29270598.08	92509831.02	66547562.02	35140486.86	84787543.46	74708782.03	46968565.58
I	41881608.71	31188935.93	32177215.93	26479458.12	49201266.11	33770506.54	35396896.68	41940292.56	47706244.13	39917157.12
J	36989883.23	40529463.63	31200826.79	68267942.52	16300175.04	24317061.14	40692389.12	28528293.11	40374126.41	30960930.22
K	30766010.86	32068642.9	29166184.46	25858547.85	36159299.65	37450931.95	52771768.12	41638826.6	30421351.96	44986384.94
L	39183548.35	43226159.99	32473480.47	37301958.27	19441512.07	26412971.01	52806003.37	29348798.6	34187564.41	80021310.57
M	29089053.45	42557694.57	36470767.72	44590291.25	32452237.22	32535198.41	23535128.0	22820528.49	39909944.03	52429492.89
N	23038726.62	31642981.8	30799448.49	27279268.85	33369246.9	36265461.05	13886448.18	22756176.6	30675009.07	60705035.92
O	20185163.96	24252429.98	20971053.33	14013838.44	15421808.56	38744966.42	17498571.16	14433847.02	27882129.25	50429338.35
P	27748389.59	24504973.29	22600759.29	17399555.97	19627689.86	33849908.68	16653525.84	19683880.76	22750486.66	5941836.31
Q	41633924.6	46020816.26	41416893.6	36431129.1	48226057.17	43274406.53	41552953.75	34599717.1	31909660.66	36167705.8
R	41099731.74	61869836.63	41215114.35	44685297.7	53276773.74	45687353.16	63128294.34	56113334.87	28565443.31	35331192.46
S	45939937.51	37955346.08	24621301.67	29159202.14	23046232.73	18619196.75	20661607.89	23932315.05	25566060.21	33709218.28
T	44187631.98	39316261.72	26035526.04	35616095.93	30234590.68	19980118.27	34458085.29	40908933.42	21114644.29	50370867.06
U	53047697.26	39298485.89	27404920.76	40181481.89	13590618.15	13880517.68	19250452.7	31067083.93	31101031.63	42264588.5
V	41803759.34	35253732.74	32778036.82	40197115.79	30020507.16	4382912.65	41337545.66	21399854.66	24156178.54	60103092.5
