 	1	2	3	4	5	6	7	8	9	10
A	4065622.05	25858541.1	6790940.8	1728076.01	1541107.46	1541495.63	1518481.4	1485988.86	1525601.27	1898867.91
B	2036540.46	2286763.43	1855944.15	1756235.42	1619220.69	1575147.07	1585408.72	1603840.36	1605456.57	2954600.26
C	4700912.83	5503696.18	3896971.49	3113132.82	4477497.28	2578324.81	3123514.52	4433814.47	3763127.78	2899916.56
D	5733293.81	6288707.2	4488964.69	3592612.11	2642723.8	3124806.01	3883671.98	5566048.37	3604330.37	2767144.22
E	4005128.57	4184990.78	2600619.0	2343749.83	3310130.68	3267612.62	3287868.78	4666542.92	4322177.49	3831499.54
F	4701897.67	4269932.98	2559803.42	2621050.29	3198761.4	5137316.52	3289297.88	4895356.94	4578090.65	4664249.39
G	8007513.35	7765525.79	4397684.14	4158442.23	9061995.12	5911209.38	5733174.61	8136605.78	6078854.53	6216474.42
H	6285817.37	6702985.53	4972994.35	4197947.12	12894058.91	4763573.51	5039941.22	7367524.85	6008693.14	5640809.02
I	16274621.11	12196398.5	13934966.97	7542340.42	15103370.35	4803433.41	5209271.51	9596950.02	7442096.08	13435711.36
J	11266828.93	9637630.63	10443951.56	10435828.18	11442811.68	4267995.07	4867217.13	9673368.1	8501743.19	11784047.6
K	11508257.13	9092146.92	6780841.36	6514631.08	12312692.74	4736261.81	6999358.94	9233769.54	5523602.68	7336109.48
L	12677397.44	16013881.77	13322049.24	9630541.73	6335105.83	4959823.23	9125806.65	6306217.93	8343694.77	6439185.47
M	6624544.21	7882370.93	11678061.6	6990652.85	10598659.35	3643491.2	5594812.3	6955409.82	7592990.14	7724121.08
N	6165282.15	8379520.6	11013111.63	9024964.96	6786337.17	3539220.42	5335424.11	5619439.46	6026668.53	8243563.15
O	6797859.5	6473927.93	5943663.05	6666692.87	8857043.18	8354719.28	8117688.36	5537170.98	6965676.77	8093722.04
P	5896794.49	5239323.04	4856182.65	6548469.68	5993559.48	4667886.79	6538769.21	7004922.58	7434679.23	7956582.3
Q	5980503.06	4411241.59	4126779.43	6586973.64	3283895.77	3467130.65	5831703.93	4948290.61	6940240.14	7230095.94
R	6343811.36	5031391.91	4983318.39	5715446.77	4307835.15	4272175.94	8613426.49	7380787.29	6984128.58	7901660.43
S	10291404.94	8508599.27	14003243.47	15510559.26	14029028.49	18198492.81	16683938.4	15947951.72	12472283.95	25165797.27
T	8056764.9	9647575.34	5908291.23	5292725.37	8775110.25	8895779.92	6379178.37	8719893.33	7351423.1	8591498.44
U	12735038.12	11544100.77	8586703.31	9534345.15	8393466.55	17333952.61	8739051.97	10603590.54	9039705.31	8842646.7
V	10523544.19	8172300.69	7049506.94	5198118.07	9023387.11	9796373.8	7187962.34	7946971.89	8254729.24	7182138.34
W	8185270.63	8659487.24	4730298.41	4660083.11	10398850.11	71802019.59	7330449.13	13018950.31	8760641.11	8564586.97
X	7455569.59	9069873.45	6129145.76	5382218.51	8808918.69	5317758.81	8684117.19	13028777.8	11086662.51	7471516.45
