	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.9075	0.9978	1.057	0.8888	0.903	0.7896	0.815	0.823	0.9356	0.8916	1.0798	1.0798	1.252	0.9998	0.9128	0.8966	1.2315	1.1596	1.2491	1.0988	1.2061	1.2061	1.3101
-4	1.1441	1.0907	1.3442	0.9807	0.8824	0.5367	0.8361	0.7893	0.9312	0.7568	1.1247	1.1247	1.1268	0.7571	0.7331	0.6498	1.4544	0.863	1.3636	1.6159	1.4112	1.4112	1.6171
-3	0.9637	0.941	0.8603	0.898	0.9812	0.9238	0.6971	0.6474	0.8592	0.8416	0.9253	0.9253	0.7587	0.8104	0.6906	0.6023	0.9616	1.3666	1.8363	2.3331	2.6378	2.6378	2.3468
-2	1.2227	1.0413	1.4118	1.0266	1.0339	0.8718	1.1567	0.7569	0.8263	0.5698	0.5991	0.5991	0.5412	0.8774	0.5142	0.5081	1.1196	1.0796	1.7564	2.1133	2.4291	2.4291	2.5889
-1	0.5029	0.5186	0.6106	0.7447	0.5064	1.0107	1.111	1.9569	1.2082	0.8757	0.6202	0.6202	0.5221	0.8098	0.2972	0.3326	0.9551	1.2365	2.4922	2.4333	3.762	3.762	2.4762
1	0.3446	0.4127	1.0016	0.3319	0.6781	1.1023	2.4625	1.9337	1.03	1.1175	1.0656	1.0656	1.1101	0.8933	0.2521	0.3175	1.0948	0.4533	0.8588	1.8717	2.7459	2.7459	15.3809
2	0.6912	0.3751	0.6737	1.0193	0.8386	1.0494	1.198	1.1378	0.9699	0.9753	1.3195	1.3195	1.898	0.7246	0.4014	0.58	0.7905	0.9089	1.4333	2.0347	2.2878	2.2878	5.381
3	0.6162	0.4275	0.4867	1.0423	0.6002	0.5626	1.4577	2.4004	1.967	1.4298	2.2432	2.2432	2.7102	0.7568	0.2113	0.3275	0.4751	0.4393	0.4428	0.4457	0.524	0.524	1.1229
4	1.2813	1.1337	0.8698	1.1342	1.0638	0.8701	0.9301	0.8457	0.7585	0.9224	1.1832	1.1832	2.2768	0.9873	0.6474	0.7687	0.8384	0.6355	0.9166	1.0709	1.0112	1.0112	1.3961
5	1.4895	1.1449	1.0669	1.1751	1.1259	1.0175	0.9106	0.8584	1.0148	0.9587	1.2492	1.2492	1.0917	0.8654	0.9032	0.8636	0.7567	0.7566	0.9461	0.9804	1.0078	1.0078	1.1327
