	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.2087	1.1849	1.017	0.9329	0.9712	0.8787	0.9034	0.9211	0.9188	0.9954	1.0068	1.0068	0.9616	0.8699	0.9098	0.946	1.0141	1.0766	1.1415	1.0744	1.035	1.035	1.2098
-4	1.2284	1.0822	1.1258	0.9715	0.8818	0.7544	0.8485	0.8158	1.0319	0.9913	1.0973	1.0973	1.1952	0.8422	0.7675	0.8674	1.1176	0.9453	1.2247	1.1828	0.9583	0.9583	1.2692
-3	0.9234	1.0707	0.9234	1.0011	1.0363	1.0137	0.7925	0.7785	0.8392	1.0347	1.0516	1.0516	0.9944	0.961	0.6197	0.6711	0.8192	1.2608	1.3339	1.876	1.0166	1.0166	1.5054
-2	1.2227	1.0051	1.0827	1.0274	1.119	0.9977	1.1322	0.9629	0.9206	0.8373	0.7175	0.7175	0.8564	0.9242	0.6047	0.5762	1.0453	1.0804	1.3018	1.6133	1.1915	1.1915	1.4442
-1	0.5459	0.2961	0.6782	0.7298	0.4998	1.2567	1.8294	2.6531	1.9802	1.195	1.4893	1.4893	1.104	1.1255	0.3166	0.3514	0.5908	0.5642	0.7598	0.7641	1.2027	1.2027	1.3849
1	0.16	0.8319	1.6058	0.8948	1.1186	1.118	1.348	1.26	0.7876	1.12	0.5674	0.5674	1.0109	0.6599	0.2732	0.3611	1.1997	0.5394	1.2686	2.7701	2.2601	2.2601	2.1233
2	0.7415	0.583	0.852	0.9989	1.0651	1.2644	1.0732	1.0696	1.0719	1.0105	0.9763	0.9763	1.1598	0.7826	0.4513	0.6346	0.8566	1.1694	1.3712	1.867	2.4336	2.4336	3.0575
3	1.0028	0.9643	0.7449	1.2986	0.7842	1.007	1.6029	2.1875	1.5575	1.3055	1.4184	1.4184	1.2709	0.8369	0.2906	0.3969	0.8474	0.5337	0.6468	0.6018	0.5792	0.5792	1.0196
4	1.271	1.1495	0.9685	1.0329	0.9714	0.9234	0.8837	0.8119	0.7952	1.1336	0.9221	0.9221	1.0899	1.1106	0.7359	0.8705	1.0454	0.8177	1.0877	1.412	1.0681	1.0681	1.4703
5	1.5934	1.1752	1.0375	1.0819	1.0025	1.0003	0.8958	0.8635	0.9198	1.0158	0.9957	0.9957	0.9417	0.8967	0.7137	0.7683	0.8912	0.9584	1.0992	1.2315	0.9716	0.9716	1.074
