	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.2638	1.2405	1.0828	0.8993	0.9985	0.9119	0.8317	0.8491	0.9043	0.9336	0.8851	0.8851	0.7177	1.0992	1.3723	1.2565	1.0371	1.0335	0.845	0.7373	0.7382	0.7382	0.8122
-4	1.4391	1.324	1.0725	0.9728	0.8629	0.7655	0.8277	0.8073	0.9631	0.9413	0.8864	0.8864	0.8449	1.0079	1.2888	1.435	1.0174	0.9364	0.7804	0.7996	0.5932	0.5932	0.7914
-3	1.3309	1.2587	0.9621	0.973	1.1525	1.0551	0.7016	0.5713	0.784	0.8396	0.9498	0.9498	0.9467	1.0944	1.4318	1.5956	0.9823	1.0974	0.6407	0.6055	0.5389	0.5389	0.7334
-2	1.3588	1.3879	1.0127	1.0084	1.2267	1.0141	0.7477	0.6273	0.6779	0.6811	0.762	0.762	0.7486	1.1425	1.411	1.8	1.0739	1.2229	0.529	0.5758	0.4918	0.4918	0.5943
-1	1.1777	0.9237	0.8604	0.8239	0.7791	0.895	0.7325	0.8086	0.8251	0.9271	1.0083	1.0083	0.7231	1.639	1.5948	2.5603	1.0945	0.8981	0.2757	0.2771	0.2914	0.2914	0.5385
1	0.5443	0.8588	1.5642	1.0746	0.9365	1.0275	1.1841	1.0548	1.0024	1.0487	1.0856	1.0856	1.5982	1.125	1.2014	1.4483	1.0823	0.602	0.2501	0.3859	0.3443	0.3443	0.725
2	0.843	0.5266	0.8197	1.1654	0.7866	1.0715	1.399	1.4306	1.2279	1.3556	1.2767	1.2767	1.5137	0.884	1.0897	1.2745	0.8249	0.8763	0.3284	0.4713	0.38	0.38	0.4129
3	0.9759	0.8199	0.7431	0.9916	0.6614	0.6655	1.1856	1.269	1.212	1.1562	1.8651	1.8651	2.6887	1.2392	0.7284	0.9865	0.5731	0.6268	0.3354	0.2682	0.2108	0.2108	0.3263
4	1.1469	0.965	0.902	1.054	0.9006	0.8907	0.8458	0.7295	0.8923	1.1052	1.255	1.255	1.2585	1.0957	1.2528	1.2803	1.1009	0.9588	0.7143	0.7056	0.3669	0.3669	0.4541
5	1.5333	1.1052	0.977	1.0143	0.9818	1.0089	0.878	0.8574	0.9971	1.1252	1.0951	1.0951	1.0974	0.9465	1.2321	1.171	0.8638	0.9775	0.5944	0.5585	0.4291	0.4291	0.4855
