	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.1083	1.2072	1.054	0.9954	0.8363	0.7999	0.8248	1.0727	1.0891	1.1242	1.0672	1.0672	1.1126	0.9929	0.8578	0.8632	0.9661	0.9732	1.1197	0.9308	0.8527	0.8527	0.8669
-4	1.1019	1.2718	1.1078	1.0394	0.7924	0.634	0.7935	0.9226	0.9929	0.9295	1.0349	1.0349	1.0932	0.9128	0.7191	0.7687	1.0584	0.8879	1.1372	1.8412	0.9098	0.9098	1.5694
-3	1.0355	1.0896	0.8082	0.9413	0.9384	0.8819	0.7783	0.7611	0.8516	0.8953	0.8918	0.8918	0.929	0.9017	0.631	0.6739	0.8375	1.0619	1.9186	2.1146	1.2838	1.2838	1.701
-2	1.2993	1.1332	1.1393	0.9577	1.027	0.9001	1.2965	1.0974	0.8953	0.6698	0.6422	0.6422	0.7156	1.0228	0.5678	0.6557	1.0099	1.0094	1.1931	1.7257	1.3012	1.3012	1.2833
-1	0.4515	0.3397	0.5937	0.6987	0.4326	0.8997	1.9027	3.1111	2.4613	1.1301	0.8777	0.8777	0.4534	0.7767	0.2704	0.3106	0.6643	0.5733	0.8361	1.9151	2.0581	2.0581	1.0555
1	0.1155	0.5188	1.1955	1.0046	0.9191	0.8252	1.1769	1.5366	1.2522	1.758	1.0346	1.0346	1.4433	0.9105	0.3429	0.4916	1.2319	0.3816	0.5633	2.3026	1.0881	1.0881	4.5981
2	0.6012	0.4447	0.8827	1.0531	1.0887	1.1701	1.2115	1.2883	1.3642	0.9655	1.5999	1.5999	1.733	0.7578	0.8968	1.1123	0.7481	1.0122	0.473	0.6501	1.5828	1.5828	2.6054
3	0.8697	0.5891	0.7015	1.0634	0.6421	0.767	1.7064	2.2867	1.5591	1.2992	1.9457	1.9457	1.4265	0.7408	0.475	1.5206	0.4693	0.5681	0.2401	0.1931	0.2175	0.2175	0.7818
4	0.971	1.0145	0.8211	1.1122	0.8633	0.7712	0.8654	0.8804	0.937	1.2224	1.3843	1.3843	1.5489	1.3239	1.2266	1.3458	0.9654	0.7369	0.5733	0.5486	0.4622	0.4622	0.6587
5	1.1513	0.8608	1.0104	0.9004	1.0114	0.8532	0.9341	0.8068	1.01	0.9136	1.2053	1.2053	1.3583	1.1521	1.0631	1.2023	0.9738	0.7024	0.9303	0.8607	0.6379	0.6379	0.6923
