	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.0911	1.2139	1.0094	0.9382	0.9103	0.769	0.8753	0.9832	1.0828	0.9594	1.0403	1.0403	1.1577	0.9598	0.9948	1.0184	1.0303	1.0875	0.9485	0.8685	0.9293	0.9293	1.0725
-4	1.0955	1.2398	1.0978	0.9592	0.7434	0.7299	0.7865	1.0995	1.036	0.9674	1.1848	1.1848	1.1473	0.906	0.8595	1.0072	1.0243	0.9246	0.8808	1.2698	0.8633	0.8633	1.2225
-3	1.1722	1.0392	0.9608	0.9253	0.9947	0.925	0.9628	0.9001	1.0061	0.9831	1.022	1.022	0.9989	1.038	0.9593	0.9355	0.9809	1.2	0.9754	0.9461	0.9031	0.9031	1.0983
-2	0.8918	1.1447	0.912	1.0298	0.9855	0.9531	0.9833	1.06	1.0714	0.8579	0.9322	0.9322	1.0069	1.0859	0.9561	1.0827	1.0014	1.1958	0.902	0.9773	0.7117	0.7117	0.9803
-1	1.1801	1.1017	1.1123	1.024	0.9801	0.9218	0.9489	1.055	1.048	0.9761	1.2444	1.2444	0.8954	1.2215	0.5728	0.64	0.8539	0.9796	1.2737	0.9947	0.9693	0.9693	1.5113
1	0.3806	0.6423	1.0235	0.981	0.7615	0.9668	1.4237	1.7905	1.5812	1.5938	1.4494	1.4494	1.3728	1.3009	0.5436	0.8685	0.9732	0.5653	0.2786	0.4839	0.3317	0.3317	1.0218
2	1.043	0.8685	0.9255	0.8678	1.0643	1.0108	0.8231	0.8729	0.9269	1.0182	1.0443	1.0443	1.1963	0.8279	1.2911	1.5112	1.069	1.2235	0.5716	0.712	0.4652	0.4652	0.8217
3	0.7562	0.853	0.773	1.1355	0.951	1.0194	1.1626	1.6917	1.2698	1.3259	1.1729	1.1729	0.9959	1.0706	0.8062	1.1888	0.9667	0.9877	0.5356	0.473	0.2571	0.2571	0.5173
4	0.7565	1.0509	0.9124	1.019	0.9565	0.8763	0.8574	0.9094	0.8992	1.1714	1.0486	1.0486	1.0138	1.1473	1.241	1.3079	1.1493	0.9806	0.7979	0.9234	0.549	0.549	0.9194
5	1.223	1.1044	0.9956	1.0861	1.0273	1.0077	0.882	0.9565	1.0186	0.9832	1.0233	1.0233	1.0031	1.0005	1.1012	1.1884	0.9083	0.9789	0.7948	0.8033	0.5787	0.5787	0.694
