	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.2191	1.0283	0.967	0.9543	0.9493	0.9083	0.7829	0.6752	0.7194	0.8338	0.8608	0.8608	0.7549	1.0158	1.2254	1.164	1.0979	1.3529	1.3464	1.0986	1.1731	1.1731	1.203
-4	1.1241	1.2507	0.9436	0.9532	0.8464	0.7273	0.8567	0.7495	0.9513	0.9519	0.7313	0.7313	0.7625	1.019	0.9887	1.0089	1.0922	1.0064	1.4154	1.5743	1.0732	1.0732	1.2689
-3	1.0156	1.0444	0.8212	1.0293	1.0815	0.8618	0.5585	0.5587	0.6605	0.7398	0.7936	0.7936	0.9785	1.0325	0.6972	0.7604	1.1466	1.3887	1.7	2.1606	1.1317	1.1317	1.1846
-2	1.3111	1.1103	0.9868	1.06	1.3101	0.968	0.6628	0.5602	0.6793	0.7273	0.57	0.57	0.6895	1.2712	0.8726	0.95	1.1764	1.4014	1.3469	1.4063	1.0955	1.0955	1.2068
-1	1.2976	0.5685	0.5832	0.6331	0.5179	1.5103	2.2564	3.119	1.7108	0.9741	0.6517	0.6517	0.7662	0.733	0.4681	0.3989	0.5212	0.463	0.6407	0.8194	1.0697	1.0697	0.8059
1	0.4623	2.8348	1.5879	1.0086	1.1323	1.0837	0.8923	0.5893	0.5957	1.1124	0.7232	0.7232	1.5437	0.8005	0.4185	0.5379	0.8973	0.6437	0.8217	1.3228	1.2092	1.2092	2.2057
2	0.7244	0.7508	1.0738	0.9914	1.3003	1.4406	1.3015	1.1516	1.0783	1.1907	1.0827	1.0827	0.8154	0.7102	0.721	0.9512	1.0043	0.791	0.6358	1.2764	1.327	1.327	1.2405
3	0.5177	0.6676	0.6211	0.804	0.6719	0.9077	1.3671	1.5228	1.4569	1.0082	2.8278	2.8278	1.6693	1.0022	0.5522	0.9129	0.5987	0.657	0.4925	0.5465	0.4974	0.4974	0.6365
4	0.7853	1.0086	0.8348	1.345	0.9384	1.0103	0.8421	0.8136	0.8659	1.2882	1.2401	1.2401	1.1147	1.1215	1.0567	1.3631	1.1739	0.8989	0.7587	0.8853	0.6673	0.6673	0.8407
5	1.3708	0.9573	0.9591	1.0973	1.0727	1.0047	0.7488	0.6747	0.8406	0.9316	1.1286	1.1286	0.8213	1.0668	1.1919	1.5111	1.0054	1.0878	0.76	0.867	0.6739	0.6739	0.7392
