	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.883	1.0927	1.0007	0.8678	0.7772	0.8213	1.0528	1.0666	1.0897	1.2362	1.1446	1.1446	1.0768	0.9787	0.7663	0.8544	1.1785	1.1403	0.9405	0.8998	0.8793	0.8793	1.5456
-4	1.0134	1.4023	1.2596	1.0265	0.7325	0.6644	0.984	1.0999	1.1002	1.1901	1.1342	1.1342	1.121	0.74	0.6151	0.6199	1.1345	0.7624	1.1578	1.2688	0.9463	0.9463	1.83
-3	0.9175	0.985	0.8599	0.9388	0.924	0.8062	0.9424	0.8229	0.8657	1.1824	1.4435	1.4435	1.3179	0.8259	0.4397	0.5359	0.7021	1.023	1.516	1.8901	1.6521	1.6521	2.2545
-2	1.2112	1.2639	1.0495	1.0668	0.9526	0.9159	1.0802	1.0188	1.2361	0.9172	0.8513	0.8513	0.9479	0.9169	0.6197	0.6566	1.0983	0.9818	1.0082	1.2738	1.2131	1.2131	2.2084
-1	0.5994	0.2741	0.5177	0.6552	0.4316	0.7842	2.1915	4.0247	2.4085	1.0533	1.2955	1.2955	0.8351	0.7176	0.2728	0.2278	0.4116	0.618	0.7696	0.5668	1.5264	1.5264	9.0905
1	0.3324	0.754	1.4496	1.2192	1.2918	1.0909	1.8765	1.0671	0.8536	1.8168	0.8723	0.8723	0.9805	0.4707	0.2085	0.2194	0.9502	0.3315	0.7888	2.6453	3.6438	3.6438	3.4796
2	0.643	0.3724	0.5352	0.9405	0.8194	0.8673	1.2626	1.3014	1.5626	1.3553	1.5784	1.5784	3.6948	0.4251	0.2944	0.379	0.5517	0.8481	0.7152	0.7942	1.3542	1.3542	1.2659
3	0.3606	0.35	0.4279	1.2392	0.482	0.6461	2.5186	3.2544	1.4534	2.1887	1.3223	1.3223	2.6117	0.7516	0.2097	0.2524	0.3727	0.2733	0.235	0.2895	0.3458	0.3458	0.7124
4	0.8449	1.0091	0.817	0.9735	0.9235	0.8311	1.0955	1.2472	0.7954	1.6777	1.0728	1.0728	2.1406	0.9565	0.5922	0.9456	0.8578	0.5696	0.6216	1.0019	0.6489	0.6489	1.137
5	1.4404	0.8088	1.1799	1.0388	0.78	1.0342	1.2673	1.2327	1.3537	1.5165	1.7074	1.7074	1.404	1.2382	0.3944	0.5363	0.6691	0.5929	0.47	0.374	0.3075	0.3075	0.3568
