	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.0265	1.1002	0.956	0.9895	0.9823	0.8913	0.7632	0.7449	0.7271	0.801	1.1379	1.1379	1.016	1.2389	1.1426	1.1125	0.9358	0.9532	1.2434	1.1008	1.7761	1.7761	1.6648
-4	0.8969	1.0976	0.9103	1.223	0.8673	0.8868	0.7006	0.6535	0.6927	0.7969	0.9557	0.9557	1.344	1.116	1.0125	1.0952	1.0215	0.9294	1.399	1.378	1.8607	1.8607	2.6413
-3	0.7813	1.028	0.8992	1.1424	1.0805	0.9064	0.5942	0.5989	0.7289	0.73	1.0103	1.0103	1.0106	1.218	0.8525	1.0108	1.0491	1.1722	1.6569	1.6592	2.047	2.047	3.1214
-2	1.081	1.1064	0.8849	0.9673	1.136	1.0362	0.6549	0.5969	0.6333	0.6959	0.7969	0.7969	0.7238	1.0688	1.0071	1.1276	1.1382	1.1638	1.7508	1.5697	1.4185	1.4185	2.3009
-1	0.5246	0.4461	0.496	0.695	0.4621	0.7051	0.7468	0.9479	0.6386	0.5591	0.9197	0.9197	0.6495	1.1772	0.4321	0.4576	0.8105	1.1596	3.5736	2.4611	2.552	2.552	2.5401
1	0.4153	0.4778	0.6241	1.1633	0.6699	0.9865	1.9352	1.3433	0.8731	1.005	2.3011	2.3011	1.6329	1.3789	0.6826	0.8748	0.957	0.5334	0.4781	0.4874	0.9466	0.9466	2.5817
2	0.5739	0.4386	0.6894	0.8358	0.9233	1.1078	0.7665	0.6975	0.8601	0.8672	1.3841	1.3841	1.3158	1.1699	1.2056	1.5283	0.9258	1.1888	1.489	0.8995	2.0331	2.0331	2.7687
3	1.02	0.6327	0.604	1.0105	0.6977	0.6658	1.0865	1.4583	1.6285	1.5982	1.9937	1.9937	1.2683	0.6998	0.6251	0.7287	0.6837	0.7546	0.6361	0.5818	0.7881	0.7881	0.8796
4	1.4034	0.8452	0.7973	0.8906	0.9675	0.8295	0.6813	0.7086	0.787	0.7996	0.9809	0.9809	0.9848	1.3044	1.3888	1.4621	0.8799	1.0619	1.0983	0.8165	1.0832	1.0832	0.6087
5	1.2759	0.9112	0.7221	1.0485	0.8299	0.8391	0.7231	0.6391	0.8442	0.7865	1.1295	1.1295	1.1207	1.1704	1.2727	1.2505	1.0947	1.1146	1.0121	0.9326	0.9633	0.9633	0.6786
