	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	1.1053	1.1898	1.0257	1.04	0.8342	0.8506	0.8305	1.0448	0.9604	0.9207	1.0346	1.0346	1.1478	0.9602	0.9926	1.099	0.9398	1.0957	1.0502	0.918	0.8336	0.8336	1.1224
-4	1.3303	1.3409	1.1803	1.0646	0.784	0.6731	0.8222	0.9389	1.1077	0.8835	1.0746	1.0746	1.0666	0.8524	0.8748	0.9447	1.0444	0.7723	1.165	1.1441	0.8771	0.8771	1.0812
-3	1.1501	0.9527	0.8174	1.0028	0.877	0.8953	0.876	1.0791	0.944	0.9126	1.4757	1.4757	1.359	1.0583	0.5912	0.7591	0.7064	0.9949	1.1188	1.4324	0.7721	0.7721	1.0239
-2	1.5094	1.1493	1.2106	0.9548	1.2619	0.9206	0.9362	0.8798	0.8451	0.6626	0.7468	0.7468	0.6699	0.7795	0.9261	1.0487	1.091	0.9851	1.0686	1.3088	0.877	0.877	0.8959
-1	0.3458	0.2512	0.4923	0.646	0.4569	1.105	1.101	2.6065	2.0338	0.8721	0.9197	0.9197	0.5686	0.6247	0.3002	0.4894	0.4388	1.991	2.0135	1.3894	2.0657	2.0657	1.9384
1	0.2037	0.4757	1.6331	1.0102	0.7251	0.8029	2.0254	1.6536	0.9048	1.414	0.6613	0.6613	1.0565	0.495	0.2712	0.3579	1.0838	0.4293	0.8041	3.0027	1.7955	1.7955	1.9817
2	0.6087	0.3903	0.6983	0.982	0.769	0.9936	1.0384	1.0443	0.8944	0.9351	1.3128	1.3128	1.843	0.9162	0.5223	0.9238	0.7417	1.2094	1.3713	1.7872	2.1134	2.1134	6.7003
3	0.9301	0.4641	0.618	0.996	0.5372	0.6152	2.0475	2.768	1.9699	1.1509	1.7025	1.7025	1.5491	0.8546	0.3287	0.4547	0.6922	0.4793	0.4402	0.3979	0.5516	0.5516	0.8657
4	1.403	1.2059	0.7903	0.9972	0.8525	0.9036	0.7333	0.7287	0.718	1.0335	1.0776	1.0776	1.8928	1.2934	0.8216	1.0265	0.7777	0.7929	0.9363	1.0126	0.851	0.851	1.1396
5	1.6404	1.121	1.0392	1.1773	0.9939	1.0119	0.7972	0.818	1.0268	0.9883	1.1307	1.1307	1.1882	0.9529	0.8095	0.8594	0.7825	0.8146	0.9808	1.0444	0.6508	0.6508	0.865
